bid_price	bid_volume	ask_price	ask_volume
281.231874	0	281.288126	2
281.07277937845265	2	281.1289995563461	0
280.7219601314571	1	280.77811013848407	1
280.67481701649433	1	280.7309575939554	2
280.28754584744667	1	280.3436089629277	2
280.4256599551751	1	280.4817506962403	1
281.132201480121	1	281.18843354362343	2
281.22091496640377	2	281.2771647743778	1
281.0670086990547	2	281.12322772269687	3
281.03549049674206	0	281.09170321611333	1
280.9413969528435	0	280.9975908516239	2
280.57309089906124	1	280.6292111292641	1
281.1052937577999	1	281.16152043921966	0
281.1130020580214	1	281.1692302812553	0
280.9764965398527	3	281.0326974592526	1
280.95128830890127	2	281.00748418615075	1
280.74489756482876	0	280.8010521598012	1
280.91972018752165	2	280.9759097505155	1
280.875232225232	2	280.93141288974357	1
280.93546236487924	0	280.99165507662343	0
280.8247942257915	1	280.8809648016943	1
281.233006171913	3	281.28925839837	0
281.28405170799795	4	281.3403141445832	0
281.16442119976546	1	281.22065970785616	0
281.2062832172555	1	281.2625300985871	0
281.2404742765954	3	281.29672799682277	0
281.5168478245891	1	281.573156825054	0
281.7884359004738	2	281.84479922398623	1
282.21343189907384	0	282.26988023028673	1
282.36836727927675	1	282.42484660066475	3
282.5798233200205	1	282.63634493684617	2
282.6211038228924	2	282.67763369664436	1
282.83675748556857	0	282.8933304943665	1
283.2480860361898	1	283.3047413189253	0
283.2773821483508	0	283.3340432908947	0
283.51909504334355	1	283.57580453330127	1
283.5523671604119	2	283.6090833054585	1
284.29894322343716	1	284.3558086986294	0
284.3156744859341	0	284.3725433077135	0
284.1625580160402	1	284.21939621146294	2
284.21456809867715	0	284.2714166971568	0
283.91277838999883	2	283.9695666245003	1
283.84076618518037	1	283.8975400158004	1
285.02093610055755	0	285.07794598876643	2
284.603188592844	1	284.66011492319564	3
284.56016786892815	1	284.6170855942745	0
284.39950737206937	1	284.45639296210277	1
284.31107244103345	2	284.3679403423118	2
283.82327350543574	3	283.88004383717	1
284.0721384404641	0	284.12895855016313	0
284.0721052126801	1	284.12892531573294	3
283.9568016229798	1	284.01359866300845	2
283.84982617803115	1	283.906601820831	3
283.6825851978853	1	283.73932738914397	0
283.8499265715796	2	283.90670223446017	2
284.02680656437786	4	284.08361760679503	3
283.93258940185234	1	283.98938159895243	1
283.78231381885325	1	283.8390759578309	0
283.74545098848074	0	283.80220575415495	0
284.0810325403378	0	284.13785442903475	2
284.09262871220096	0	284.1494529203642	2
283.9401295937661	0	283.9969232990553	3
284.1096081355186	0	284.16643573990615	0
284.08455418175447	0	284.1413767748501	3
284.00576513564516	1	284.0625719693557	4
284.2944055156298	1	284.35127008318966	1
284.02360220985975	1	284.0804126113419	1
283.8739857085923	1	283.93076618378154	1
283.76436341250843	0	283.8211219610458	1
283.7957477517987	1	283.8525125778316	1
283.84622738398605	0	283.90300230695516	4
283.880556611873	1	283.9373384013743	1
284.3337905606253	3	284.390663005982	1
284.2381548261721	1	284.29500814246893	2
